,freeze,Tracesample,buffer#,finefreeze,wc,Seconds,SecondsofDayNoPPS,TimeStampsNoPPS
3961,342151399,27,0,87590758272,87590758137,9.90250000540982e-05,73826.22188225,0 days 20:30:26.221882
3962,342151399,27,0,87590758272,87590758138,9.905000024446053e-05,73826.221882275,0 days 20:30:26.221882
3963,342151399,27,0,87590758272,87590758139,9.907499998007552e-05,73826.2218823,0 days 20:30:26.221882
3964,342151399,27,0,87590758272,87590758140,9.910000017043785e-05,73826.221882325,0 days 20:30:26.221882
3965,342151399,27,0,87590758272,87590758141,9.912499990605284e-05,73826.22188235,0 days 20:30:26.221882
3966,342151399,27,0,87590758272,87590758142,9.915000009641517e-05,73826.221882375,0 days 20:30:26.221882
3967,342151399,27,0,87590758272,87590758143,9.91750002867775e-05,73826.2218824,0 days 20:30:26.221882
3968,342151399,27,0,87590758272,87590758144,9.920000002239249e-05,73826.221882425,0 days 20:30:26.221882
3969,342151399,29,0,87590758272,87590758145,9.922500021275482e-05,73826.22188245,0 days 20:30:26.221882
3970,342151399,31,0,87590758272,87590758146,9.92499999483698e-05,73826.221882475,0 days 20:30:26.221882
3971,342151399,33,0,87590758272,87590758147,9.927500013873214e-05,73826.2218825,0 days 20:30:26.221883
3972,342151399,35,0,87590758272,87590758148,9.930000032909447e-05,73826.221882525,0 days 20:30:26.221883
3973,342151399,36,0,87590758272,87590758149,9.932500006470946e-05,73826.22188255,0 days 20:30:26.221883
3974,342151399,36,0,87590758272,87590758150,9.935000025507179e-05,73826.221882575,0 days 20:30:26.221883
3975,342151399,36,0,87590758272,87590758151,9.937499999068677e-05,73826.2218826,0 days 20:30:26.221883
3976,342151399,35,0,87590758272,87590758152,9.940000018104911e-05,73826.221882625,0 days 20:30:26.221883
3977,342151399,34,0,87590758272,87590758153,9.942499991666409e-05,73826.22188265,0 days 20:30:26.221883
3978,342151399,34,0,87590758272,87590758154,9.945000010702643e-05,73826.221882675,0 days 20:30:26.221883
3979,342151399,33,0,87590758272,87590758155,9.947500029738876e-05,73826.2218827,0 days 20:30:26.221883
3980,342151399,32,0,87590758272,87590758156,9.950000003300374e-05,73826.221882725,0 days 20:30:26.221883
3981,342151399,32,0,87590758272,87590758157,9.952500022336608e-05,73826.22188275,0 days 20:30:26.221883
3982,342151399,31,0,87590758272,87590758158,9.954999995898106e-05,73826.221882775,0 days 20:30:26.221883
3983,342151399,31,0,87590758272,87590758159,9.95750001493434e-05,73826.2218828,0 days 20:30:26.221883
3984,342151399,31,0,87590758272,87590758160,9.960000033970573e-05,73826.221882825,0 days 20:30:26.221883
3985,342151399,30,0,87590758272,87590758161,9.962500007532071e-05,73826.22188285,0 days 20:30:26.221883
3986,342151399,30,0,87590758272,87590758162,9.965000026568305e-05,73826.221882875,0 days 20:30:26.221883
3987,342151399,29,0,87590758272,87590758163,9.967500000129803e-05,73826.2218829,0 days 20:30:26.221883
3988,342151399,29,0,87590758272,87590758164,9.970000019166037e-05,73826.221882925,0 days 20:30:26.221883
3989,342151399,29,0,87590758272,87590758165,9.972499992727535e-05,73826.22188295,0 days 20:30:26.221883
3990,342151399,29,0,87590758272,87590758166,9.975000011763768e-05,73826.221882975,0 days 20:30:26.221883
3991,342151399,29,0,87590758272,87590758167,9.977500030800002e-05,73826.221883,0 days 20:30:26.221883
3992,342151399,28,0,87590758272,87590758168,9.9800000043615e-05,73826.221883025,0 days 20:30:26.221883
3993,342151399,28,0,87590758272,87590758169,9.982500023397733e-05,73826.22188305,0 days 20:30:26.221883
3994,342151399,28,0,87590758272,87590758170,9.984999996959232e-05,73826.221883075,0 days 20:30:26.221883
3995,342151399,28,0,87590758272,87590758171,9.987500015995465e-05,73826.2218831,0 days 20:30:26.221883
3996,342151399,28,0,87590758272,87590758172,9.989999989556964e-05,73826.221883125,0 days 20:30:26.221883
3997,342151399,28,0,87590758272,87590758173,9.992500008593197e-05,73826.22188315,0 days 20:30:26.221883
3998,342151399,28,0,87590758272,87590758174,9.99500002762943e-05,73826.221883175,0 days 20:30:26.221883
3999,342151399,28,0,87590758272,87590758175,9.997500001190929e-05,73826.2218832,0 days 20:30:26.221883
4000,342151399,30,0,87590758272,87590758176,0.00010000000020227162,73826.22188322501,0 days 20:30:26.221883
4001,342151399,32,0,87590758272,87590758177,0.0001000249999378866,73826.22188325001,0 days 20:30:26.221883
4002,342151399,35,0,87590758272,87590758178,0.00010005000012824894,73826.22188327501,0 days 20:30:26.221883
4003,342151399,36,0,87590758272,87590758179,0.00010007500031861127,73826.22188330001,0 days 20:30:26.221883
4004,342151399,37,0,87590758272,87590758180,0.00010010000005422626,73826.22188332501,0 days 20:30:26.221883
4005,342151399,37,0,87590758272,87590758181,0.00010012500024458859,73826.22188335001,0 days 20:30:26.221883
4006,342151399,36,0,87590758272,87590758182,0.00010014999998020357,73826.22188337501,0 days 20:30:26.221883
4007,342151399,35,0,87590758272,87590758183,0.00010017500017056591,73826.22188340001,0 days 20:30:26.221883
4008,342151399,34,0,87590758272,87590758184,0.00010019999990618089,73826.22188342501,0 days 20:30:26.221883
4009,342151399,33,0,87590758272,87590758185,0.00010022500009654323,73826.22188345001,0 days 20:30:26.221883
4010,342151399,32,0,87590758272,87590758186,0.00010025000028690556,73826.22188347501,0 days 20:30:26.221883
4011,342151399,32,0,87590758272,87590758187,0.00010027500002252054,73826.22188350001,0 days 20:30:26.221884
4012,342151399,31,0,87590758272,87590758188,0.00010030000021288288,73826.22188352501,0 days 20:30:26.221884
4013,342151399,31,0,87590758272,87590758189,0.00010032499994849786,73826.22188355001,0 days 20:30:26.221884
4014,342151399,31,0,87590758272,87590758190,0.0001003500001388602,73826.22188357501,0 days 20:30:26.221884
4015,342151399,31,0,87590758272,87590758191,0.00010037500032922253,73826.22188360001,0 days 20:30:26.221884
4016,342151399,30,0,87590758272,87590758192,0.00010040000006483751,73826.22188362501,0 days 20:30:26.221884
4017,342151399,30,0,87590758272,87590758193,0.00010042500025519985,73826.22188365001,0 days 20:30:26.221884
4018,342151399,30,0,87590758272,87590758194,0.00010044999999081483,73826.221883675,0 days 20:30:26.221884
4019,342151399,29,0,87590758272,87590758195,0.00010047500018117717,73826.2218837,0 days 20:30:26.221884
4020,342151399,29,0,87590758272,87590758196,0.00010049999991679215,73826.221883725,0 days 20:30:26.221884
4021,342151399,29,0,87590758272,87590758197,0.00010052500010715448,73826.22188375,0 days 20:30:26.221884
4022,342151399,28,0,87590758272,87590758198,0.00010055000029751682,73826.221883775,0 days 20:30:26.221884
4023,342151399,28,0,87590758272,87590758199,0.0001005750000331318,73826.2218838,0 days 20:30:26.221884
4024,342151399,28,0,87590758272,87590758200,0.00010060000022349413,73826.221883825,0 days 20:30:26.221884
