KeV,Counts
2514,41
2516,38
2518,45
2520,38
2522,46
2524,48
2526,31
2528,40
2530,47
2532,37
2534,41
2536,42
2538,38
2540,41
2542,38
2544,48
2546,37
2548,36
2550,38
2552,34
2554,40
2556,27
2558,43
2560,25
2562,44
2564,30
2566,38
2568,38
2570,23
2572,34
2574,27
2576,26
2578,32
2580,33
2582,28
2584,35
2586,25
2588,32
2590,27
2592,26
2594,25
2596,33
2598,22
2600,26
2602,34
2604,37
2606,22
2608,26
2610,24
2612,29
2614,26
2616,27
2618,29
2620,35
2622,23
2624,22
2626,37
2628,24
2630,31
2632,25
2634,20
2636,28
2638,27
2640,24
2642,16
2644,31
2646,22
2648,21
2650,28
2652,31
2654,26
2656,27
2658,31
2660,30
2662,24
2664,19
2666,21
2668,27
2670,24
2672,27
2674,26
2676,17
2678,26
2680,16
2682,24
2684,27
2686,19
2688,32
2690,28
2692,22
2694,27
2696,18
2698,22
2700,21
2702,22
2704,30
2706,18
2708,23
2710,29
2712,16
2714,18
2716,29
2718,21
2720,21
2722,22
2724,22
2726,14
2728,16
2730,26
2732,15
2734,17
2736,22
2738,28
2740,21
2742,32
2744,20
2746,20
2748,17
2750,23
2752,16
2754,18
2756,18
2758,17
2760,15
2762,16
2764,20
2766,24
2768,20
2770,14
2772,15
2774,13
2776,17
2778,12
2780,12
2782,13
2784,22
2786,10
2788,23
2790,17
2792,14
2794,19
2796,12
2798,16
2800,13
2802,10
2804,15
2806,22
2808,16
2810,22
2812,18
2814,21
2816,10
2818,17
2820,19
2822,22
2824,17
2826,13
2828,13
2830,7
2832,19
2834,15
2836,15
2838,8
2840,14
2842,17
2844,13
2846,12
2848,24
2850,18
2852,23
2854,20
2856,10
2858,13
2860,15
2862,20
2864,14
2866,14
2868,7
2870,23
2872,20
2874,16
2876,14
2878,15
2880,14
2882,17
2884,11
2886,18
2888,17
2890,24
2892,18
2894,16
2896,13
2898,11
2900,18
2902,17
2904,17
2906,17
2908,11
2910,17
2912,23
2914,10
2916,26
2918,24
2920,27
2922,13
2924,17
2926,19
2928,15
2930,18
2932,21
2934,16
2936,17
2938,19
2940,13
2942,20
2944,14
2946,26
2948,21
2950,19
2952,16
2954,28
2956,17
2958,13
2960,23
2962,17
2964,9
2966,31
2968,9
2970,34
2972,14
2974,20
2976,18
2978,13
2980,22
2982,20
2984,18
2986,16
2988,20
2990,18
2992,13
2994,22
2996,19
2998,18
3000,13
3002,22
3004,13
3006,13
3008,21
3010,21
3012,19
3014,25
3016,14
3018,22
3020,15
3022,20
3024,19
3026,12
3028,20
3030,17
3032,23
3034,26
3036,18
3038,14
3040,17
3042,11
3044,10
3046,16
3048,13
3050,17
3052,17
3054,17
3056,20
3058,15
3060,19
3062,13
3064,20
3066,21
3068,18
3070,21
3072,18
3074,14
3076,16
3078,18
3080,21
3082,18
3084,14
3086,16
3088,17
3090,20
3092,17
3094,16
3096,20
3098,22
3100,18
3102,18
3104,14
3106,14
3108,24
3110,19
3112,24
3114,10
3116,19
3118,17
3120,18
3122,15
3124,14
3126,4
3128,13
3130,14
3132,17
3134,14
3136,11
3138,8
3140,7
3142,18
3144,12
3146,14
3148,14
3150,14
3152,10
3154,17
3156,10
3158,12
3160,11
3162,9
3164,11
3166,10
3168,15
3170,11
3172,12
3174,16
3176,10
3178,11
3180,13
3182,13
3184,10
3186,13
3188,8
3190,10
3192,5
3194,5
3196,13
3198,11
3200,11
3202,10
3204,13
3206,9
3208,8
3210,6
3212,6
3214,14
3216,11
3218,7
3220,16
3222,8
3224,12
3226,7
3228,6
3230,10
3232,6
3234,8
3236,13
3238,13
3240,14
3242,13
3244,6
3246,12
3248,8
3250,8
3252,19
3254,8
3256,8
3258,7
3260,14
3262,15
3264,13
3266,12
3268,9
3270,10
3272,6
3274,4
3276,16
3278,12
3280,11
3282,8
3284,9
3286,5
3288,11
3290,8
3292,5
3294,10
3296,10
3298,9
3300,11
3302,10
3304,13
3306,4
3308,6
3310,10
3312,4
3314,8
3316,6
3318,6
3320,6
3322,10
3324,11
3326,9
3328,1
3330,8
3332,8
3334,8
3336,8
3338,10
3340,7
3342,6
3344,12
3346,7
3348,10
3350,8
3352,6
3354,8
3356,5
3358,7
3360,4
3362,10
3364,7
3366,3
3368,10
3370,4
3372,6
3374,13
3376,6
